Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1989,1,,19,19,Y,"$182,000",Eddie Zosky (minors),SS,-0.5,44.0,50.0,0.0,0.16,0.433,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
1988,1,,25,25,Y,"$100,000",Ed Sprague (minors),3B,5.7,1203.0,4095.0,152.0,0.247,0.737,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
1987,1,,17,17,Y,"$100,000",Alex Sanchez (minors),RHP,-0.6,0.0,0.0,0.0,,,4.0,0.0,1.0,10.03,2.57,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1986,1,,26,26,Y,"$90,000",Earl Sanders (minors),RHP,,,,,,,,,,,,,4Yr,"Jackson State University (Jackson, MS)",1
1985,1,,25,25,Y,"$116,500",Greg David (minors),OF,,,,,,,,,,,,,HS,"Barron Collier HS (Naples, FL)",1
1983,1,,9,9,Y,"$130,000",Matt Stark (minors),C,-0.5,13.0,28.0,0.0,0.179,0.421,,,,,,,HS,"Los Altos HS (Hacienda Heights, CA)",1
1982,1,,2,2,Y,"$92,500",Augie Schmidt (minors),SS,,,,,,,,,,,,,4Yr,"University of New Orleans (New Orleans, LA)",1
1981,1,,5,5,Y,"$83,000",Matt Williams (minors),RHP,0.4,0.0,0.0,0.0,,,10.0,3.0,2.0,5.29,1.47,0.0,4Yr,"Rice University (Houston, TX)",1
1981,1,,21,21,Y,"$40,000",*John Cerutti (minors),LHP,6.9,0.0,0.0,0.0,,,229.0,49.0,43.0,3.94,1.38,4.0,4Yr,"Amherst College (Amherst, MA)",1
1980,1,,2,2,Y,"$58,000",Garry Harris (minors),SS,,,,,,,,,,,,,HS,"Herbert Hoover HS (San Diego, CA)",1
1979,1,,3,3,Y,"$135,000",Jay Schroeder (minors),C,,,,,,,,,,,,,HS,"Palisades Charter HS (Pacific Palisades, CA)",1
1978,1,,2,2,Y,"$55,000",Lloyd Moseby (minors),1B,27.5,1588.0,5815.0,169.0,0.257,0.746,,,,,,,HS,"Oakland HS (Oakland, CA)",1
1977,1,,25,25,Y,"$36,000",Tom Goffena (minors),SS,,,,,,,,,,,,,HS,"Sidney HS (Sidney, OH)",1
2022,2,,60,21,Y,"$997,500",Josh Kasevich (minors),SS,,,,,,,,,,,,,4Yr,"University of Oregon (Eugene, OR)",2
2022,2,,77,38,Y,"$2,000,000",Tucker Toman (minors),SS,,,,,,,,,,,,,HS,"Hammond School (Columbia, SC)",2
2022,2,,78,39,Y,"$831,100",Cade Doughty (minors),2B,,,,,,,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",2
2020,2,,42,5,Y,"$1,797,500",CJ Van Eyk (minors),P,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",2
2019,2,,52,11,Y,"$1,547,500",Kendall Williams (minors),P,,,,,,,,,,,,,HS,"IMG Academy (Bradenton, FL)",2
2018,2,,52,9,Y,"$1,350,000",Griffin Conine (minors),RF,,,,,,,,,,,,,4Yr,"Duke University (Durham, NC)",2
2017,2,,61,25,Y,"$1,500,000",Hagen Danner (minors),C,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,HS,"Huntington Beach HS (Huntington Beach, CA)",2
2016,2,,57,16,Y,"$975,000",J.B. Woodman (minors),OF,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",2
2016,2,,66,25,Y,"$1,100,000",Bo Bichette (minors),SS,17.7,528.0,2182.0,89.0,0.299,0.827,,,,,,,HS,"Lakewood HS (St. Petersburg, FL)",2
2015,2,,56,14,N,,Brady Singer (minors),RHP,5.8,0.0,0.0,0.0,,,95.0,27.0,31.0,4.49,1.34,0.0,HS,"Eustis HS (Eustis, FL)",2
2014,2,,49,8,Y,"$1,128,800",Sean Reid-Foley (minors),RHP,-0.3,13.0,4.0,0.0,0.0,0.333,48.0,7.0,10.0,4.58,1.55,0.0,HS,"Sandalwood HS (Jacksonville, FL)",2
2013,2,,47,8,Y,"$467,280",Clinton Hollon (minors),RHP,,,,,,,,,,,,,HS,"Woodford County HS (Versailles, KY)",2
