Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1987,1,,25,25.0,Y,"$83,000",John Orton (minors),C,0.5,156.0,401.0,4.0,0.2,0.54,,,,,,,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)",1
1987,1s,,31,31.0,Y,,*David Holdridge (minors),RHP,0.1,0.0,0.0,0.0,,,7.0,0.0,0.0,4.05,1.5,0.0,HS,"Ocean View HS (Huntington Beach, CA)",1
1986,1,,16,16.0,Y,"$90,000",*Roberto Hernandez (minors),RHP,18.5,322.0,2.0,0.0,0.5,1.0,1010.0,67.0,71.0,3.45,1.37,326.0,4Yr,"University of South Carolina Aiken (Aiken, SC)",1
1986,1,,22,22.0,Y,"$80,500",Lee Stevens (minors),OF,2.0,1012.0,3332.0,144.0,0.254,0.772,,,,,,,HS,"Lawrence HS (Lawrence, KS)",1
1986,1,,25,25.0,Y,"$78,000",*Terry Carr (minors),OF,,,,,,,,,,,,,HS,"James M. Bennett HS (Salisbury, MD)",1
1986,1s,,27,27.0,Y,,*Mike Fetters (minors),RHP,7.7,205.0,0.0,0.0,,,620.0,31.0,41.0,3.86,1.47,100.0,4Yr,"Pepperdine University (Malibu, CA)",1
1986,1s,,28,28.0,Y,,*Daryl Green (minors),RHP,,,,,,,,,,,,,HS,"Nacogdoches HS (Nacogdoches, TX)",1
1985,1,,15,15.0,Y,"$92,500",Willie Fraser (minors),RHP,1.8,67.0,4.0,0.0,0.0,0.0,239.0,38.0,40.0,4.47,1.34,7.0,4Yr,"Concordia College (Bronxville, NY)",1
1985,1,,19,19.0,Y,"$92,000",*Mike Cook (minors),RHP,-0.4,0.0,0.0,0.0,,,41.0,1.0,6.0,5.55,1.67,0.0,4Yr,"University of South Carolina (Columbia, SC)",1
1984,1,,6,6.0,Y,"$110,000",Erik Pappas (minors),C,0.4,104.0,289.0,1.0,0.242,0.64,,,,,,,HS,"Mount Carmel HS (Chicago, IL)",1
1983,1,,23,23.0,Y,"$75,000",Mark Doran (minors),OF,,,,,,,,,,,,,4Yr,"University of Wisconsin at Madison (Madison, WI)",1
1982,1,,8,8.0,Y,"$92,500",Bob Kipper (minors),LHP,-1.3,247.0,95.0,0.0,0.137,0.321,271.0,27.0,37.0,4.34,1.32,11.0,HS,"Aurora Central Catholic HS (Aurora, IL)",1
1981,1,,3,3.0,Y,"$70,000",Dick Schofield (minors),SS,18.8,1368.0,4299.0,56.0,0.23,0.624,,,,,,,HS,"Griffin HS (Springfield, IL)",1
1980,1,,17,17.0,Y,"$57,500",*Dennis Rasmussen (minors),LHP,11.1,136.0,259.0,0.0,0.193,0.457,256.0,91.0,77.0,4.15,1.33,0.0,4Yr,"Creighton University (Omaha, NE)",1
1978,1,,14,14.0,Y,"$92,500",Tom Brunansky (minors),OF,22.0,1800.0,6289.0,271.0,0.245,0.761,,,,,,,HS,"West Covina HS (West Covina, CA)",1
1977,1,,7,7.0,Y,"$60,000",Richard Dotson (minors),RHP,15.9,8.0,0.0,0.0,,,305.0,111.0,113.0,4.23,1.41,0.0,HS,"Anderson HS (Cincinnati, OH)",1
1976,1,,6,6.0,Y,"$82,000",Ken Landreaux (minors),OF,10.4,1264.0,4101.0,91.0,0.268,0.718,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
1975,1,,1,1.0,Y,"$125,000",Danny Goodwin (minors),C,-1.7,252.0,636.0,13.0,0.236,0.674,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)",1
1974,1,,10,10.0,Y,"$75,000",Mike Miley (minors),SS,-0.9,84.0,262.0,4.0,0.176,0.49,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
1973,1,,7,7.0,Y,"$50,000",Billy Taylor (minors),OF,,,,,,,,,,,,,HS,"Windsor Forest HS (Savannah, GA)",1
