Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1992,1,,4,4.0,Y,"$975,000",Jeffrey Hammonds (minors),OF,8.6,957.0,3032.0,110.0,0.272,0.787,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
1991,1,,9,9.0,Y,"$350,000",Mark Smith (minors),OF,-0.1,414.0,959.0,32.0,0.243,0.719,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",1
1990,1,,20,20.0,Y,"$225,000",Mike Mussina (minors),RHP,82.8,22.0,52.0,0.0,0.173,0.381,537.0,270.0,153.0,3.68,1.19,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
1989,1,,1,1.0,Y,"$350,000",Ben McDonald (minors),RHP,20.8,1.0,1.0,0.0,0.0,0.0,211.0,78.0,70.0,3.91,1.26,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)",1
1988,1,,4,4.0,Y,"$188,000",Gregg Olson (minors),RHP,12.8,193.0,4.0,1.0,0.25,1.4,622.0,40.0,39.0,3.46,1.38,217.0,4Yr,"Auburn University (Auburn, AL)",1
1988,1s,,28,28.0,Y,"$100,000",*Ricky Gutierrez (minors),SS,-1.4,1119.0,3632.0,38.0,0.266,0.689,,,,,,,HS,"American Senior HS (Hialeah, FL)",1
1987,1,,7,7.0,Y,"$160,000",Chris Myers (minors),LHP,,,,,,,,,,,,,HS,"H. B. Plant HS (Tampa, FL)",1
1987,1,,15,15.0,N,,*Brad Duvall (minors),RHP,,,,,,,,,,,,,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)",1
1987,1s,,27,27.0,Y,,*Pete Harnisch (minors),RHP,17.9,269.0,513.0,2.0,0.129,0.327,321.0,111.0,103.0,3.89,1.3,0.0,4Yr,"Fordham University (New York, NY)",1
1984,1,,25,25.0,Y,"$87,500",John Hoover (minors),RHP,-0.2,0.0,0.0,0.0,,,2.0,0.0,0.0,11.57,2.36,0.0,4Yr,"California State University, Fresno (Fresno, CA)",1
1983,1,,25,25.0,Y,"$40,000",Wayne Wilson (minors),RHP,,,,,,,,,,,,,HS,"Redondo Union HS (Redondo Beach, CA)",1
1982,1,,24,24.0,Y,"$67,500",Joe Kucharski (minors),RHP,,,,,,,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",1
1980,1,,26,26.0,Y,"$32,500",Jeff Williams (minors),OF,,,,,,,,,,,,,HS,"Princeton HS (Cincinnati, OH)",1
1978,1,,22,22.0,Y,"$30,000",Robert Boyce (minors),3B,,,,,,,,,,,,,HS,"Deer Park HS (Cincinnati, OH)",1
1977,1,,19,19.0,Y,"$50,000",Drungo Hazewood (minors),C,-0.1,6.0,5.0,0.0,0.0,0.0,,,,,,,HS,"Sacramento HS (Sacramento, CA)",1
1976,1,,20,20.0,Y,"$34,000",Dallas Williams (minors),OF,-0.6,20.0,38.0,0.0,0.079,0.225,,,,,,,HS,"Abraham Lincoln HS (Brooklyn, NY)",1
1975,1,,23,23.0,Y,"$32,000",Dave Ford (minors),RHP,1.1,0.0,0.0,0.0,,,51.0,5.0,6.0,4.02,1.24,3.0,HS,"Lincoln West HS (Cleveland, OH)",1
1974,1,,24,24.0,Y,"$20,000",Rich Dauer (minors),SS,14.4,1140.0,3829.0,43.0,0.257,0.653,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",1
1973,1,,15,15.0,Y,"$20,000",Mike Parrott (minors),RHP,2.0,0.0,0.0,0.0,,,119.0,19.0,39.0,4.87,1.56,5.0,HS,"Adolfo Camarillo HS (Camarillo, CA)",1
1972,1,,24,24.0,Y,"$15,000",Ken Thomas (minors),C,,,,,,,,,,,,,HS,"Clear Fork HS (Bellville, OH)",1
1971,1,,23,23.0,Y,"$20,000",Randy Stein (minors),RHP,-2.3,6.0,0.0,0.0,,,65.0,5.0,6.0,5.72,1.74,1.0,HS,"Ganesha HS (Pomona, CA)",1
1970,1,,24,24.0,Y,"$15,000",James West (minors),C,,,,,,,,,,,,,HS,"Vashon HS (St. Louis, MO)",1
1969,1,,17,17.0,Y,"$17,500",Don Hood (minors),LHP,5.3,48.0,20.0,0.0,0.2,0.4,297.0,34.0,35.0,3.79,1.42,6.0,HS,"Southside HS (Florence, SC)",1
1968,1,,10,10.0,Y,"$38,500",Junior Kennedy (minors),SS,2.8,447.0,1041.0,4.0,0.248,0.623,,,,,,,HS,"Arvin HS (Arvin, CA)",1
1967,1,,19,19.0,Y,"$35,000",Bobby Grich (minors),SS,71.1,2008.0,6890.0,224.0,0.266,0.794,,,,,,,HS,"Woodrow Wilson HS (Long Beach, CA)",1
1966,1,,16,16.0,Y,"$35,000",Ted Parks (minors),SS,,,,,,,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",1
