Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1969,1,,4,4.0,Y,"$52,000",Randy Sterling (minors),RHP,-0.2,3.0,2.0,0.0,0.0,0.333,3.0,1.0,1.0,4.82,1.71,0.0,HS,"Key West HS (Key West, FL)",1
1968,1,,1,1.0,Y,"$74,000",Tim Foli (minors),SS,5.6,1696.0,6047.0,25.0,0.251,0.593,,,,,,,HS,"Notre Dame HS (Sherman Oaks, CA)",1
1967,1,,4,4.0,Y,"$55,000",Jon Matlack (minors),LHP,39.4,204.0,441.0,0.0,0.129,0.366,361.0,125.0,126.0,3.18,1.23,3.0,HS,"B. Reed Henderson HS (West Chester, PA)",1
1966,1,,1,1.0,Y,"$75,000",Steven Chilcott (minors),C,,,,,,,,,,,,,HS,"Antelope Valley HS (Lancaster, CA)",1
1965,1,,2,2.0,Y,"$50,000",Les Rohr (minors),LHP,-0.3,6.0,6.0,0.0,0.0,0.143,6.0,2.0,3.0,3.7,1.81,0.0,HS,"Billings West HS (Billings, MT)",1
2023,2,,56,17.0,Y,"$1,474,500",Brandon Sproat (minors),P,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
2022,2,,52,13.0,Y,"$1,850,000",Blade Tidwell (minors),P,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",2
2022,2,,75,36.0,Y,"$1,000,000",Nick Morabito (minors),OF,,,,,,,,,,,,,HS,"Gonzaga College HS (Washington, DC)",2
2021,2,,46,10.0,Y,"$910,000",Calvin Ziegler (minors),P,,,,,,,,,,,,,HS,"TNXL Academy (Altamonte Springs, FL)",2
2020,2,,52,15.0,Y,"$2,900,000",J.T. Ginn (minors),P,,,,,,,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",2
2020,2,,69,32.0,Y,"$850,000",Isaiah Greene (minors),OF,,,,,,,,,,,,,HS,"Corona HS (Corona, CA)",2
2019,2,,53,12.0,Y,"$2,150,000",Josh Wolf (minors),P,,,,,,,,,,,,,HS,"St. Thomas HS (Houston, TX)",2
2018,2,,48,5.0,Y,"$1,850,000",Simeon Woods Richardson (minors),RHP,-0.2,0.0,0.0,0.0,,,2.0,0.0,1.0,6.52,1.55,0.0,HS,"I. H. Kempner HS (Sugar Land, TX)",2
2017,2,,59,23.0,Y,"$1,500,000",Mark Vientos (minors),3B,-1.3,81.0,254.0,10.0,0.205,0.61,,,,,,,HS,"American Heritage HS (Plantation, FL)",2
2016,2,,64,23.0,Y,"$909,200",Pete Alonso (minors),1B,17.3,684.0,2531.0,192.0,0.251,0.87,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
2015,2,,53,11.0,Y,"$1,142,700",Desmond Lindsay (minors),OF,,,,,,,,,,,,,HS,"Out-of-Door Academy (Sarasota, FL)",2
2013,2,,48,9.0,Y,"$850,000",Andrew Church (minors),RHP,,,,,,,,,,,,,HS,"Basic HS (Henderson, NV)",2
2012,2,,71,11.0,Y,"$525,000",*Matt Reynolds (minors),3B,-0.2,225.0,475.0,7.0,0.23,0.627,2.0,0.0,0.0,6.75,2.25,0.0,4Yr,"University of Arkansas (Fayetteville, AR)",2
2012,2,,75,15.0,N,,Teddy Stankiewicz (minors),RHP,,,,,,,,,,,,,HS,"Fort Worth Christian HS (North Richland Hills, TX)",2
2011,2,,71,11.0,Y,"$437,500",Cory Mazzoni (minors),RHP,-1.2,20.0,0.0,0.0,,,22.0,1.0,0.0,11.72,2.33,0.0,4Yr,"North Carolina State University (Raleigh, NC)",2
2009,2,,72,23.0,Y,"$895,000",Steven Matz (minors),LHP,10.0,110.0,176.0,3.0,0.171,0.451,181.0,54.0,58.0,4.25,1.32,0.0,HS,"Ward Melville HS (East Setauket, NY)",2
2008,2,,68,22.0,Y,"$585,000",Javier Rodriguez (minors),OF,,,,,,,,,,,,,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)",2
2007,2,,77,13.0,Y,"$414,000",*Scott Moviel (minors),RHP,,,,,,,,,,,,,HS,"St. Edward HS (Lakewood, OH)",2
2007,2,,93,29.0,Y,,Brant Rustich (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",2
2006,2,,62,18.0,Y,"$585,000",Kevin Mulvey (minors),RHP,-0.6,8.0,7.0,0.0,0.143,0.286,10.0,0.0,3.0,7.9,1.76,0.0,4Yr,"Villanova University (Villanova, PA)",2
2004,2,,44,3.0,Y,"$800,000",Matt Durkin (minors),RHP,,,,,,,,,,,,,4Yr,"San Jose State University (San Jose, CA)",2
2001,2,,70,26.0,Y,"$517,000",Alhaji Turay (minors),OF,,,,,,,,,,,,,HS,"Auburn HS (Auburn, WA)",2
2001,2s,,76,32.0,Y,"$550,000",*Corey Ragsdale (minors),SS,,,,,,,,,,,,,HS,"Nettleton HS (Jonesboro, AR)",2
2000,2,,65,25.0,Y,"$575,000",Matt Peterson (minors),RHP,,,,,,,,,,,,,HS,"Rapides School (Alexandria, LA)",2
1999,2,,73,22.0,Y,"$725,000",Neal Musser (minors),LHP,0.2,3.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,4.21,1.83,0.0,HS,"Benton Central HS (Oxford, IN)",2
1999,2s,,84,33.0,Y,"$410,000",*Jake Joseph (minors),RHP,,,,,,,,,,,,,JC,"Cosumnes River College (Sacramento, CA)",2
1998,2,,64,21.0,Y,"$500,000",Pat Strange (minors),RHP,-0.3,11.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,6.35,1.82,0.0,HS,"Springfield HS (Springfield, MA)",2
1997,2,,58,6.0,Y,,Tyler Walker (minors),RHP,2.1,249.0,12.0,0.0,0.0,0.077,286.0,23.0,18.0,4.23,1.37,34.0,4Yr,"University of California, Berkeley (Berkeley, CA)",2
