Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1991,1,,13,13.0,Y,"$257,000",Manny Ramirez (minors),3B,69.3,2302.0,8244.0,555.0,0.312,0.996,,,,,,,HS,"George Washington HS (New York, NY)",1
1990,1,,8,8.0,Y,"$300,000",Tim Costo (minors),SS,-0.7,43.0,134.0,3.0,0.224,0.61,,,,,,,4Yr,"University of Iowa (Iowa City, IA)",1
1990,1s,,39,39.0,Y,,*Sam Hence (minors),OF,,,,,,,,,,,,,HS,"Stone HS (Wiggins, MS)",1
1989,1,,11,11.0,N,,Calvin Murray (minors),3B,2.1,288.0,633.0,8.0,0.231,0.648,,,,,,,HS,"Warren T. White HS (Dallas, TX)",1
1988,1,,2,2.0,Y,"$180,000",Mark Lewis (minors),SS,-2.6,902.0,2795.0,48.0,0.263,0.692,,,,,,,HS,"Hamilton HS (Hamilton, OH)",1
1988,1,,17,17.0,Y,"$126,000",*Charles Nagy (minors),RHP,24.8,15.0,19.0,0.0,0.105,0.211,318.0,129.0,105.0,4.51,1.42,0.0,4Yr,"University of Connecticut (Storrs, CT)",1
1988,1s,,27,27.0,Y,,*Jeff Mutis (minors),LHP,-1.9,35.0,3.0,0.0,0.0,0.0,58.0,4.0,11.0,6.48,1.76,0.0,4Yr,"Lafayette College (Easton, PA)",1
1986,1,,2,2.0,Y,"$165,000",Greg Swindell (minors),LHP,30.5,353.0,245.0,0.0,0.188,0.429,664.0,123.0,122.0,3.86,1.26,7.0,4Yr,"University of Texas at Austin (Austin, TX)",1
1985,1,,9,9.0,Y,"$125,000",Mike Poehl (minors),RHP,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",1
1984,1,,4,4.0,Y,"$137,700",Cory Snyder (minors),SS,0.7,1068.0,3656.0,149.0,0.247,0.716,,,,,,,4Yr,"Brigham Young University (Provo, UT)",1
1983,1,,11,11.0,Y,"$75,000",Dave Clark (minors),OF,0.3,905.0,1964.0,62.0,0.264,0.745,,,,,,,4Yr,"Jackson State University (Jackson, MS)",1
1982,1,,12,12.0,Y,"$85,000",Mark Snyder (minors),RHP,,,,,,,,,,,,,HS,"Bearden HS (Knoxville, TN)",1
1981,1,,13,13.0,Y,"$80,000",George Alpert (minors),OF,,,,,,,,,,,,,HS,"Livingston HS (Livingston, NJ)",1
1980,1,,10,10.0,Y,"$80,000",Kelly Gruber (minors),SS,16.4,939.0,3159.0,117.0,0.259,0.739,,,,,,,HS,"Westlake HS (Austin, TX)",1
1979,1,,7,7.0,Y,"$77,500",John Bohnet (minors),LHP,-0.2,0.0,0.0,0.0,,,3.0,0.0,0.0,6.94,1.54,0.0,HS,"Hogan HS (Vallejo, CA)",1
1978,1,,10,10.0,Y,"$68,000",Phil Lansford (minors),SS,,,,,,,,,,,,,HS,"Wilcox HS (Santa Clara, CA)",1
1977,1,,11,11.0,Y,"$32,000",Bruce Compton (minors),OF,,,,,,,,,,,,,HS,"Norman HS (Norman, OK)",1
1976,1,,14,14.0,Y,"$42,500",Tim Glass (minors),C,,,,,,,,,,,,,HS,"Springfield South HS (Springfield, OH)",1
1975,1,,7,7.0,Y,,Rick Cerone (minors),C,8.1,1329.0,4069.0,59.0,0.245,0.644,2.0,0.0,0.0,0.0,0.5,0.0,4Yr,"Seton Hall University (South Orange, NJ)",1
1974,1,,4,4.0,Y,"$45,000",Tom Brennan (minors),RHP,0.9,12.0,8.0,0.0,0.125,0.25,64.0,9.0,10.0,4.4,1.37,2.0,4Yr,"Lewis University (Romeoville, IL)",1
1973,1,,5,5.0,Y,"$40,000",Glenn Tufts (minors),INF,,,,,,,,,,,,,HS,"Bridgewater-Raynham HS (Bridgewater, MA)",1
1972,1,,2,2.0,Y,"$57,500",Rick Manning (minors),SS,11.7,1555.0,5248.0,56.0,0.257,0.658,,,,,,,HS,"LaSalle HS (Niagara Falls, NY)",1
1971,1,,9,9.0,Y,"$40,000",David Sloan (minors),RHP,,,,,,,,,,,,,HS,"Santa Clara HS (Santa Clara, CA)",1
1970,1,,2,2.0,Y,"$50,000",Steve Dunning (minors),RHP,1.9,107.0,134.0,4.0,0.194,0.547,136.0,23.0,41.0,4.56,1.51,1.0,4Yr,"Stanford University (Palo Alto, CA)",1
1969,1,,15,15.0,Y,"$40,000",Alvin McGrew (minors),OF,,,,,,,,,,,,,HS,"A. H. Parker HS (Birmingham, AL)",1
1968,1,,6,6.0,Y,"$32,000",Michael Weaver (minors),SS,,,,,,,,,,,,,HS,"Paxon HS (Jacksonville, FL)",1
1967,1,,11,11.0,Y,"$22,500",Jack Heidemann (minors),SS,-6.2,426.0,1093.0,9.0,0.211,0.532,,,,,,,HS,"Brenham HS (Brenham, TX)",1
1966,1,,12,12.0,N,,John Curtis (minors),LHP,7.9,348.0,359.0,0.0,0.176,0.419,438.0,89.0,97.0,3.96,1.44,11.0,HS,"Smithtown HS (Nesconset, NY)",1
1965,1,,7,7.0,Y,"$28,000",Ray Fosse (minors),C,12.8,924.0,2957.0,61.0,0.256,0.673,,,,,,,HS,"Marion HS (Marion, IL)",1
2023,2,,58,19.0,Y,"$2,300,000",Alex Clemmey (minors),P,,,,,,,,,,,,,HS,"Bishop Hendricken HS (Warwick, RI)",2
2023,2,,62,23.0,Y,"$955,275",Andrew Walters (minors),P,,,,,,,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",2
2022,2,,54,15.0,Y,"$1,300,000",Parker Messick (minors),P,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",2
2021,2,,58,22.0,Y,"$1,200,000",Doug Nikhazy (minors),P,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",2
2021,2,,69,33.0,Y,"$1,100,000",Tommy Mace (minors),P,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
2020,2,,56,19.0,Y,"$1,125,000",Logan Allen (minors),P,1.5,0.0,0.0,,,,24.0,7.0,8.0,3.81,1.4,0.0,4Yr,"Florida International University (Miami, FL)",2
2019,2,,63,22.0,Y,"$1,001,000",Yordys Vald�s (minors),SS,,,,,,,,,,,,,HS,"McArthur HS (Hollywood, FL)",2
2018,2,,67,24.0,Y,"$750,000",Nick Sandlin (minors),RHP,1.8,3.0,0.0,0.0,,,141.0,11.0,8.0,3.07,1.1,0.0,4Yr,"University of Southern Mississippi (Hattiesburg, MS)",2
2017,2,,64,28.0,Y,"$988,970",Quentin Holmes (minors),OF,,,,,,,,,,,,,HS,"Monsignor McClancy Memorial HS (East Elmhurst, NY)",2
2017,2,,71,35.0,Y,"$816,500",Tyler Freeman (minors),SS,-0.6,88.0,230.0,4.0,0.244,0.641,,,,,,,HS,"Etiwanda HS (Rancho Cucamonga, CA)",2
2016,2,,55,14.0,Y,"$2,250,000",Nolan Jones (minors),3B,4.4,134.0,453.0,22.0,0.287,0.884,,,,,,,HS,"Holy Ghost Prep HS (Philadelphia, PA)",2
2016,2,,72,31.0,Y,"$850,000",Logan Ice (minors),C,,,,,,,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",2
2015,2,,59,17.0,Y,"$825,000",Juan Hillman (minors),LHP,,,,,,,,,,,,,HS,"Olympia HS (Orlando, FL)",2
2014,2,,61,20.0,Y,"$1,100,000",Grant Hockin (minors),RHP,,,,,,,,,,,,,HS,"Damien HS (La Verne, CA)",2
2012,2,,79,19.0,Y,"$800,000",Mitch Brown (minors),RHP,,,,,,,,,,,,,HS,"Century HS (Rochester, MN)",2
2011,2,,67,7.0,Y,"$1,850,000",Dillon Howard (minors),RHP,,,,,,,,,,,,,HS,"Searcy HS (Searcy, AR)",2
2010,2,,55,5.0,Y,"$1,200,000",LeVon Washington (minors),CF,,,,,,,,,,,,,JC,"Chipola College (Marianna, FL)",2
2009,2,,63,14.0,Y,"$575,000",Jason Kipnis (minors),CF,21.3,1165.0,4404.0,126.0,0.26,0.75,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",2
2008,2,,76,30.0,Y,"$1,250,000",Trey Haley (minors),RHP,,,,,,,,,,,,,HS,"Central Heights HS (Nacogdoches, TX)",2
2006,2,,56,12.0,Y,"$630,000",*Steven Wright (minors),RHP,3.0,6.0,5.0,0.0,0.0,0.0,81.0,24.0,16.0,3.86,1.33,1.0,4Yr,"University of Hawaii at Manoa (Honolulu, HI)",2
2006,2,,57,13.0,Y,"$625,000",*Joshua Rodriguez (minors),2B,-0.1,7.0,12.0,0.0,0.083,0.298,,,,,,,4Yr,"Rice University (Houston, TX)",2
2006,2,,69,25.0,Y,"$1,000,000",Wes Hodges (minors),3B,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",2
2006,2s,,75,31.0,Y,"$445,000",*Matt McBride (minors),C,-1.5,92.0,194.0,4.0,0.201,0.527,,,,,,,4Yr,"Lehigh University (Bethlehem, PA)",2
2005,2,,62,14.0,Y,"$605,000",Stephen Head (minors),1B,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",2
2004,2,,47,6.0,Y,"$725,000",Justin Hoyman (minors),RHP,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
2003,2,,48,11.0,Y,"$710,000",Javi Herrera (minors),C,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",2
2002,2,,63,22.0,Y,"$625,000",Brian Slocum (minors),RHP,-0.2,0.0,0.0,0.0,,,10.0,0.0,0.0,7.78,2.24,0.0,4Yr,"Villanova University (Villanova, PA)",2
2002,2s,,72,31.0,Y,"$547,500",*Pat Osborn (minors),3B,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
