Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1991,1,,23,23.0,Y,"$210,000",Aaron Sele (minors),RHP,20.1,72.0,58.0,0.0,0.155,0.386,404.0,148.0,112.0,4.61,1.49,0.0,4Yr,"Washington State University (Pullman, WA)",1
1991,1s,,37,37.0,Y,,*J.J. Johnson (minors),OF,,,,,,,,,,,,,HS,"Pine Plains HS (Pine Plains, NY)",1
1991,1s,,43,43.0,Y,,*Scott Hatteberg (minors),C,10.0,1314.0,4226.0,106.0,0.273,0.772,,,,,,,4Yr,"Washington State University (Pullman, WA)",1
1989,1,,16,16.0,Y,"$180,000",*Greg Blosser (minors),OF,-0.4,22.0,39.0,0.0,0.077,0.303,,,,,,,HS,"Sarasota HS (Sarasota, FL)",1
1989,1,,23,23.0,Y,"$126,000",Mo Vaughn (minors),1B,27.1,1512.0,5532.0,328.0,0.293,0.906,,,,,,,4Yr,"Seton Hall University (South Orange, NJ)",1
1989,1s,,29,29.0,Y,,*Kevin Morton (minors),LHP,0.4,0.0,0.0,0.0,,,16.0,6.0,5.0,4.59,1.54,0.0,4Yr,"Seton Hall University (South Orange, NJ)",1
1988,1,,12,12.0,Y,"$110,000",Tom Fischer (minors),LHP,,,,,,,,,,,,,4Yr,"University of Wisconsin at Madison (Madison, WI)",1
1987,1,,26,26.0,Y,"$92,500",Reggie Harris (minors),RHP,-0.1,61.0,1.0,0.0,0.0,0.0,86.0,2.0,3.0,4.91,1.55,0.0,HS,"Waynesboro HS (Waynesboro, VA)",1
1987,1s,,32,32.0,Y,,*Bob Zupcic (minors),OF,-0.7,319.0,795.0,7.0,0.25,0.648,,,,,,,4Yr,"Oral Roberts University (Tulsa, OK)",1
1986,1,,14,14.0,N,,Greg McMurtry (minors),OF,,,,,,,,,,,,,HS,"Brockton HS (Brockton, MA)",1
1985,1,,21,21.0,Y,"$100,000",Dan Gabriele (minors),RHP,,,,,,,,,,,,,HS,"Western HS (Walled Lake, MI)",1
1984,1,,14,14.0,Y,"$100,000",John Marzano (minors),C,0.3,301.0,794.0,11.0,0.241,0.633,,,,,,,4Yr,"Temple University (Philadelphia, PA)",1
1983,1,,19,19.0,Y,"$121,000",Roger Clemens (minors),RHP,139.2,95.0,179.0,0.0,0.173,0.443,709.0,354.0,184.0,3.12,1.17,0.0,4Yr,"University of Texas at Austin (Austin, TX)",1
1982,1,,16,16.0,Y,"$82,500",*Sam Horn (minors),1B,2.3,389.0,1040.0,62.0,0.24,0.797,,,,,,,HS,"Samuel F. B. Morse HS (San Diego, CA)",1
1982,1,,18,18.0,Y,"$65,000",Bob Parkins (minors),RHP,,,,,,,,,,,,,HS,"Cerritos HS (Cerritos, CA)",1
1982,1,,26,26.0,Y,"$55,000",*Jeff Ledbetter (minors),1B,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1981,1,,19,19.0,Y,"$55,000",Steve Lyons (minors),SS,1.8,852.0,2162.0,19.0,0.252,0.642,2.0,0.0,0.0,3.0,2.67,0.0,4Yr,"Oregon State University (Corvallis, OR)",1
1981,1,,25,25.0,Y,"$60,000",*Kevin Burrell (minors),C,,,,,,,,,,,,,HS,"Poway HS (Poway, CA)",1
1977,1,,13,13.0,Y,"$42,500",Andrew Madden (minors),RHP,,,,,,,,,,,,,HS,"New Hartford HS (New Hartford, NY)",1
1976,1,,22,22.0,Y,"$42,500",Bruce Hurst (minors),LHP,34.1,135.0,274.0,0.0,0.113,0.305,379.0,145.0,113.0,3.92,1.33,0.0,HS,"Dixie HS (St. George, UT)",1
1975,1,,15,15.0,Y,"$50,000",Otis Foster (minors),1B,,,,,,,,,,,,,4Yr,"High Point University (High Point, NC)",1
1974,1,,20,20.0,Y,"$50,000",Eddie Ford (minors),SS,,,,,,,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",1
1973,1,,17,17.0,Y,"$35,000",Ted Cox (minors),SS,-1.6,272.0,771.0,10.0,0.245,0.623,,,,,,,HS,"Midwest City HS (Midwest City, OK)",1
1972,1,,16,16.0,Y,"$45,000",Joel Bishop (minors),SS,,,,,,,,,,,,,HS,"McClatchy HS (Sacramento, CA)",1
1971,1,,15,15.0,Y,"$30,000",Jim Rice (minors),OF,47.7,2089.0,8225.0,382.0,0.298,0.854,,,,,,,HS,"T. L. Hanna HS (Anderson, SC)",1
1970,1,,16,16.0,N,,Jimmie Hacker (minors),3B,,,,,,,,,,,,,HS,"Temple HS (Temple, TX)",1
1969,1,,13,13.0,Y,"$85,000",Noel Jenke (minors),OF,,,,,,,,,,,,,4Yr,"University of Minnesota (Minneapolis, MN)",1
1968,1,,20,20.0,Y,"$40,000",Tom Maggard (minors),OF,,,,,,,,,,,,,HS,"John H. Glenn HS (Norwalk, CA)",1
1967,1,,3,3.0,Y,"$54,000",Mike Garman (minors),RHP,2.2,291.0,42.0,0.0,0.119,0.238,303.0,22.0,27.0,3.63,1.41,42.0,HS,"Caldwell HS (Caldwell, ID)",1
1966,1,,4,4.0,Y,"$56,000",Ken Brett (minors),LHP,16.3,255.0,347.0,10.0,0.262,0.698,349.0,83.0,85.0,3.93,1.34,11.0,HS,"El Segundo HS (El Segundo, CA)",1
1965,1,,5,5.0,Y,"$62,500",Billy Conigliaro (minors),OF,4.6,347.0,1130.0,40.0,0.256,0.74,,,,,,,HS,"Swampscott HS (Swampscott, MA)",1
2023,2,,50,11.0,Y,"$3,000,000",Nazzan Zanetello (minors),SS,,,,,,,,,,,,,HS,"Christian Brothers College HS (St. Louis, MO)",2
2022,2,,41,2.0,Y,"$1,847,500",Cutter Coffey (minors),SS,,,,,,,,,,,,,HS,"Liberty HS (Bakersfield, CA)",2
2022,2,,79,40.0,Y,"$2,500,000",Roman Anthony (minors),OF,,,,,,,,,,,,,HS,"Marjory Stoneman Douglas HS (Parkland, FL)",2
2021,2,,40,4.0,Unk,,Jud Fabian (minors),OF,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",2
2019,2,,43,2.0,Y,"$1,300,000",Cam Cannon (minors),SS,,,,,,,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",2
