Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2016,2,,70,29.0,Y,"$1,100,000",Connor Jones (minors),RHP,,,,,,,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",2
2015,2,,66,24.0,Y,"$1,200,000",Bryce Denton (minors),3B,,,,,,,,,,,,,HS,"Ravenwood HS (Brentwood, TN)",2
2014,2,,68,27.0,Y,"$833,900",Ronnie Williams (minors),RHP,,,,,,,,,,,,,HS,"American Senior HS (Hialeah, FL)",2
2014,2,,71,30.0,Y,"$546,100",Andrew Morales (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Irvine (Irvine, CA)",2
2013,2,,57,18.0,Y,"$1,500,000",�scar Mercado (minors),SS,2.6,298.0,890.0,26.0,0.237,0.677,,,,,,,HS,"Vivian Gaither HS (Tampa, FL)",2
2012,2,,86,26.0,Y,"$1,600,000",Carson Kelly (minors),3B,3.5,465.0,1310.0,45.0,0.221,0.68,8.0,0.0,0.0,7.56,2.64,0.0,HS,"Westview HS (Portland, OR)",2
2011,2,,79,19.0,Y,"$1,275,000",Charlie Tilson (minors),CF,-1.6,96.0,252.0,1.0,0.246,0.6,,,,,,,HS,"New Trier HS (Winnetka, IL)",2
2010,2,,75,25.0,Y,"$625,000",Jordan Swagerty (minors),RHP,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",2
2009,2,,67,18.0,Y,"$525,000",Robert Stock (minors),C,-0.4,43.0,4.0,0.0,0.0,0.0,55.0,2.0,4.0,4.71,1.61,0.0,4Yr,"University of Southern California (Los Angeles, CA)",2
2008,2,,59,13.0,Y,"$683,000",Shane Peterson (minors),OF,1.0,125.0,287.0,4.0,0.254,0.678,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",2
2007,2,,71,7.0,Y,"$459,000",*David Kopp (minors),RHP,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",2
2007,2,,82,18.0,Y,"$400,000",Jess Todd (minors),RHP,-0.4,1.0,0.0,0.0,,,25.0,0.0,1.0,7.62,1.94,0.0,4Yr,"University of Arkansas (Fayetteville, AR)",2
2006,2,,54,10.0,Y,"$600,000",*Brad Furnish (minors),LHP,,,,,,,,,,,,,4Yr,"Texas Christian University (Fort Worth, TX)",2
