Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1983,1s,,28,28.0,Y,,*Russ Morman (minors),OF,-0.1,207.0,470.0,10.0,0.249,0.67,,,,,,,4Yr,"Wichita State University (Wichita, KS)",1
1982,1,,14,14.0,Y,"$75,000",Ron Karkovice (minors),C,14.6,939.0,2597.0,96.0,0.221,0.672,,,,,,,HS,"William R. Boone HS (Orlando, FL)",1
1981,1,,7,7.0,Y,"$68,000",Daryl Boston (minors),LHP,4.3,1058.0,2629.0,83.0,0.249,0.722,,,,,,,HS,"Woodward HS (Cincinnati, OH)",1
1980,1,,8,8.0,Y,"$65,000",Cecil Espy (minors),OF,1.6,546.0,1248.0,7.0,0.244,0.622,,,,,,,HS,"Point Loma HS (San Diego, CA)",1
1979,1,,9,9.0,N,,Steve Buechele (minors),SS,16.5,1334.0,4266.0,137.0,0.245,0.71,,,,,,,HS,"Servite HS (Anaheim, CA)",1
1979,1,,19,19.0,Y,"$50,000",*Ricky Seilheimer (minors),C,-0.5,21.0,52.0,1.0,0.212,0.633,,,,,,,HS,"Brenham HS (Brenham, TX)",1
1977,1,,1,1.0,Y,"$32,000",Harold Baines (minors),1B,38.8,2830.0,9908.0,384.0,0.289,0.82,,,,,,,HS,"St. Michaels HS (St. Michaels, MD)",1
1976,1,,8,8.0,Y,"$32,000",Steve Trout (minors),LHP,13.4,138.0,238.0,0.0,0.16,0.358,301.0,88.0,92.0,4.18,1.49,4.0,HS,"Thornwood HS (South Holland, IL)",1
1975,1,,11,11.0,Y,,Chris Knapp (minors),RHP,0.4,0.0,0.0,0.0,,,122.0,36.0,32.0,4.99,1.48,1.0,4Yr,"Central Michigan University (Mount Pleasant, MI)",1
1974,1,,8,8.0,Y,"$58,000",Larry Monroe (minors),RHP,0.1,0.0,0.0,0.0,,,8.0,0.0,1.0,4.15,1.66,0.0,HS,"Forest View HS (Arlington Heights, IL)",1
1973,1,,21,21.0,Y,"$40,000",Steve Swisher (minors),C,-1.9,509.0,1414.0,20.0,0.216,0.581,,,,,,,4Yr,"Ohio University (Athens, OH)",1
1972,1,,12,12.0,Y,"$52,000",Mike Ondina (minors),OF,,,,,,,,,,,,,HS,"Cordova HS (Rancho Cordova, CA)",1
1971,1,,1,1.0,N,,Danny Goodwin (minors),C,-1.7,252.0,636.0,13.0,0.236,0.674,,,,,,,HS,"Peoria HS (Peoria, IL)",1
1970,1,,6,6.0,Y,"$46,500",Lee Richard (minors),SS,-1.4,239.0,492.0,2.0,0.209,0.53,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)",1
1969,1,,3,3.0,Y,"$15,000",Ted Nicholson (minors),3B,,,,,,,,,,,,,HS,"Oak Park HS (Laurel, MS)",1
1968,1,,14,14.0,Y,"$35,000",Rich McKinney (minors),SS,-2.5,341.0,886.0,20.0,0.225,0.615,,,,,,,4Yr,"Ohio University (Athens, OH)",1
1967,1,,13,13.0,Y,"$20,000",Dan Haynes (minors),3B,,,,,,,,,,,,,HS,"Headland HS (East Point, GA)",1
1966,1,,18,18.0,Y,"$21,000",Carlos May (minors),OF,10.5,1165.0,4120.0,90.0,0.274,0.749,,,,,,,HS,"A. H. Parker HS (Birmingham, AL)",1
1965,1,,17,17.0,Y,"$20,000",Ken Plesha (minors),C,,,,,,,,,,,,,4Yr,"University of Notre Dame (South Bend, IN)",1
2023,2,,51,12.0,Y,"$1,659,800",Grant Taylor (minors),P,,,,,,,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",2
2022,2,,62,23.0,Y,"$1,500,000",Peyton Pallette (minors),P,,,,,,,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",2
2021,2,,57,21.0,Y,"$1,800,000",Wes Kath (minors),3B,,,,,,,,,,,,,HS,"Desert Mountain HS (Scottsdale, AZ)",2
2020,2,,47,10.0,Y,"$3,000,000",Jared Kelley (minors),P,,,,,,,,,,,,,HS,"Refugio HS (Refugio, TX)",2
2019,2,,45,4.0,Y,"$2,100,000",Matt Thompson (minors),P,,,,,,,,,,,,,HS,"Cypress Ranch HS (Cypress, TX)",2
